key,locale,package,origin_text,text
activity::activitypoint.setting_post_on_other_action,fr,metafox/activity,"Post a new status on someone's profile.",
activity::activitypoint.setting_post_on_other_description,fr,metafox/activity,"Post a new status on someone's profile.",
activity::activitypoint.setting_post_on_wall_action,fr,metafox/activity,"Post a new status on your profile",
activity::activitypoint.setting_post_on_wall_description,fr,metafox/activity,"Post a new status on your profile",
activity::admin.add_comment_as_feed_description,fr,metafox/activity,"If this setting is enabled it will add comments that are added to items such as videos, blogs, photos etc... as its own feed entry.",
activity::admin.add_comment_as_feed_label,fr,metafox/activity,"Add Comments as Feeds",
activity::admin.allow_choosing_sort_on_feed_description,fr,metafox/activity,,
activity::admin.allow_choosing_sort_on_feed_label,fr,metafox/activity,"Allow Choosing Sort On Feed",
activity::admin.can_change_privacy_from_feed,fr,metafox/activity,"Can change privacy from feed",
activity::admin.can_comment,fr,metafox/activity,"Can comment",
activity::admin.can_create_feed,fr,metafox/activity,"Can create feed item",
activity::admin.can_edit,fr,metafox/activity,"Can edit",
activity::admin.can_like,fr,metafox/activity,"Can like",
activity::admin.can_put_stream,fr,metafox/activity,"Can put stream",
activity::admin.can_share,fr,metafox/activity,"Can share",
activity::admin.check_new_in_minutes_description,fr,metafox/activity,"The feed will be automatically refreshed at the specified time interval. If the input value is 0, your feed will not be automatically refreshed.",
activity::admin.check_new_in_minutes_label,fr,metafox/activity,"How long will the feed be refreshed in minutes?",
activity::admin.enable_checkin_description,fr,metafox/activity,"Enable Check-in feature. Note: The Check-in feature can be used when posting status or configuring page locations. The setting of Google API key need to be configured to use this feature.",
activity::admin.enable_checkin_label,fr,metafox/activity,"Enable Check-In",
activity::admin.enable_hide_feed_description,fr,metafox/activity,"If enabled, users will be able to hide feed on the homepage.",
activity::admin.enable_hide_feed_label,fr,metafox/activity,"Enable Hide Feed",
activity::admin.enable_tag_friends_description,fr,metafox/activity,"If enabled, users will be able to tag their friends when posting a status update.",
activity::admin.enable_tag_friends_label,fr,metafox/activity,"Enable Tag Friends",
activity::admin.feed_limit_days_description,fr,metafox/activity,"This setting controls how many days we should look back when displaying feeds. If you set this to 0 it will look for all the feeds. We advice to add a limit to keep your site fresh. Note that this setting does not apply when viewing a users profile as it will list all of their feeds.",
activity::admin.feed_limit_days_label,fr,metafox/activity,"Feed Limit (Days)",
activity::admin.friends_only_description,fr,metafox/activity,"Set to ON if you would like news feed to only be displayed to the user and their friends.",
activity::admin.friends_only_label,fr,metafox/activity,"Friends Only",
activity::admin.is_active,fr,metafox/activity,Active,
activity::admin.is_request,fr,metafox/activity,Request,
activity::admin.load_feeds_limit,fr,metafox/activity,"Load Feeds Limit",
activity::admin.load_feeds_limit_description,fr,metafox/activity,"Limit the number of feeds that will be displayed in the main news feed during each page load.",
activity::admin.most_recent,fr,metafox/activity,"Most Recent",
activity::admin.pin_homepage_description,fr,metafox/activity,"Set to :number to allow unlimited pinning of posts.",
activity::admin.pin_homepage_label,fr,metafox/activity,"The maximum number of posts that can be pinned on the homepage",
activity::admin.pin_profile_description,fr,metafox/activity,"Set to :number to allow unlimited pinning of posts.",
activity::admin.pin_profile_label,fr,metafox/activity,"The maximum number of posts that can be pinned on the Profile User/ Page/ Group",
activity::admin.prevent_from_edit_feed_item,fr,metafox/activity,"Prevent from editing feed item",
activity::admin.schedule_on_feed_description,fr,metafox/activity,"If enabled, users will be able to schedule when sharing items on feed.",
activity::admin.schedule_on_feed_label,fr,metafox/activity,"Enable Schedule on Feed",
activity::admin.sort_default_description,fr,metafox/activity,"Select the default criterion to sort in New Feed. This setting will be applied for new registered users on your site only.",
activity::admin.sort_default_label,fr,metafox/activity,"Default criterion to sort on New Feed",
activity::admin.spam_check_status_updates_description,fr,metafox/activity,"Define how many status updates should we check to see if the new status update the user is adding is similar and if one is we will guide them to add another status update.",
activity::admin.spam_check_status_updates_label,fr,metafox/activity,"Spam Check Status Updates",
activity::admin.sponsored_feed_cache_time_description,fr,metafox/activity,"Define how long we should keep the cache for the Sponsored Feed by minutes. 0 means we do not cache this data.",
activity::admin.sponsored_feed_cache_time_label,fr,metafox/activity,"Sponsored Feed Cache Time",
activity::admin.top_stories,fr,metafox/activity,"Top Stories",
activity::admin.top_stories_both,fr,metafox/activity,Both,
activity::admin.top_stories_comment,fr,metafox/activity,Comment,
activity::admin.top_stories_like,fr,metafox/activity,Like,
activity::admin.top_stories_update_description,fr,metafox/activity,"Select the criterion to sort top stories in feed.",
activity::admin.top_stories_update_label,fr,metafox/activity,"Criterion to sort top stories in feed",
activity::admin.type,fr,metafox/activity,Type,
activity::mail.approved_feed_content,fr,metafox/activity,"Your pending post has been approved.",
activity::mail.approved_feed_subject,fr,metafox/activity,"Your Pending Post Has Been Approved",
activity::mail.pending_feed_content,fr,metafox/activity,"A post is waiting for your approval.",
activity::mail.pending_feed_subject,fr,metafox/activity,"A post is waiting for your approval.",
activity::mail.user_reacted_to_a_post_you_shared_subject,fr,metafox/activity,":user reacted to a post you shared.",
activity::mail.user_reacted_to_your_post_subject,fr,metafox/activity,":user reacted to your post: :title.",
activity::notification.an_admin_approved_your_post,fr,metafox/activity,"Admin has approved your post.",
activity::notification.an_admin_declined_your_post,fr,metafox/activity,"Admin has declined your post.",
activity::notification.pending_post_in_entity_name_is_waiting_for_your_approval,fr,metafox/activity,"A post in :entity_type <b>:entity_title</b> is waiting for your approval.",
activity::notification.pending_post_is_waiting_for_your_approval,fr,metafox/activity,"A post is waiting for your approval.",
activity::notification.user_commented_on_owner_post,fr,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { commented on <b>{owner}'s</b> post: <b>{title}</b>.} other { commented on <b>{owner}'s</b> post.}}",
activity::notification.user_commented_on_post_that_you_are_tagged,fr,metafox/activity,"<b>:user</b> commented on a post that you are tagged in.",
activity::notification.user_commented_to_your_post,fr,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { commented on your post: <b>{title}</b>.} other { commented on your post.}}",
activity::notification.user_commented_to_your_post_in_name,fr,metafox/activity,"<b>{user}</b> commented on {user_name, select, your{your} other{<b>{user_name}'s</b>}} post in <b>{owner_name}</b>.",
activity::notification.user_reacted_to_a_post_you_shared,fr,metafox/activity,"<b>{user}</b> reacted to a post you shared.",
activity::notification.user_reacted_to_post_that_you_are_tagged_in_owner_name,fr,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to a post that you are tagged in <b>:owner_name</b>: "":feed_content"".} other { reacted to a post that you are tagged in <b>:owner_name</b>.}}",
activity::notification.user_reacted_to_post_you_are_tagged_title,fr,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to a post you are tagged in: "":feed_content"".} other { reacted to a post you are tagged in.}}",
activity::notification.user_reacted_to_your_post,fr,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to your post: <b>{title}</b>} other { reacted to your post.}}",
activity::notification.user_reacted_to_your_post_in_name,fr,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to your post in <b>{owner_name}</b>: <b>{title}</b>.} other { reacted to your post in <b>{owner_name}</b>.}}",
activity::permission.can_approve_activity_post_desc,fr,metafox/activity,,
activity::permission.can_approve_activity_post_label,fr,metafox/activity,"Can approve pending activity posts?",
activity::permission.can_approve_share_desc,fr,metafox/activity,,
activity::permission.can_approve_share_label,fr,metafox/activity,"Can approve post share?",
activity::permission.can_can_purchase_sponsor_feed_desc,fr,metafox/activity,,
activity::permission.can_can_purchase_sponsor_feed_label,fr,metafox/activity,"Can sponsor own activity feed?",
activity::permission.can_can_sponsor_feed_feed_desc,fr,metafox/activity,,
activity::permission.can_can_sponsor_feed_feed_label,fr,metafox/activity,"Can sponsor activity feed without paying sponsor fee?",
activity::permission.can_create_activity_snooze_desc,fr,metafox/activity,,
activity::permission.can_create_activity_snooze_label,fr,metafox/activity,"Can create snoozes?",
activity::permission.can_create_feed_desc,fr,metafox/activity,,
activity::permission.can_create_feed_label,fr,metafox/activity,"Can create activity feed?",
activity::permission.can_create_share_desc,fr,metafox/activity,,
activity::permission.can_create_share_label,fr,metafox/activity,"Can create posts share?",
activity::permission.can_delete_activity_snooze_desc,fr,metafox/activity,,
activity::permission.can_delete_activity_snooze_label,fr,metafox/activity,"Can delete snoozes?",
activity::permission.can_delete_feed_desc,fr,metafox/activity,,
activity::permission.can_delete_feed_label,fr,metafox/activity,"Can delete activity feed?",
activity::permission.can_delete_share_desc,fr,metafox/activity,,
activity::permission.can_delete_share_label,fr,metafox/activity,"Can delete posts share?",
activity::permission.can_hide_feed_desc,fr,metafox/activity,,
activity::permission.can_hide_feed_label,fr,metafox/activity,"Can hide activity feed?",
activity::permission.can_moderate_activity_snooze_desc,fr,metafox/activity,,
activity::permission.can_moderate_activity_snooze_label,fr,metafox/activity,"Can moderate snoozes?",
activity::permission.can_moderate_feed_desc,fr,metafox/activity,,
activity::permission.can_moderate_feed_label,fr,metafox/activity,"Can moderate activity feed?",
activity::permission.can_moderate_share_desc,fr,metafox/activity,,
activity::permission.can_moderate_share_label,fr,metafox/activity,"Can moderate post share?",
activity::permission.can_pin_feed_desc,fr,metafox/activity,,
activity::permission.can_pin_feed_label,fr,metafox/activity,"Can pin activity feed?",
activity::permission.can_pin_home_feed_desc,fr,metafox/activity,,
activity::permission.can_pin_home_feed_label,fr,metafox/activity,"Can pin posts on home page",
activity::permission.can_purchase_sponsor_activity_post_desc,fr,metafox/activity,,
activity::permission.can_purchase_sponsor_activity_post_label,fr,metafox/activity,"Can sponsor activity posts?",
activity::permission.can_report_activity_post_desc,fr,metafox/activity,,
activity::permission.can_report_activity_post_label,fr,metafox/activity,"Can report posts?",
activity::permission.can_report_feed_desc,fr,metafox/activity,,
activity::permission.can_report_feed_label,fr,metafox/activity,"Can report activity feed?",
activity::permission.can_save_activity_post_desc,fr,metafox/activity,,
activity::permission.can_save_activity_post_label,fr,metafox/activity,"Can save posts?",
activity::permission.can_sponsor_in_feed_activity_post_desc,fr,metafox/activity,,
activity::permission.can_sponsor_in_feed_activity_post_label,fr,metafox/activity,"Can sponsor activity posts in feed without paying sponsor fee?",
activity::permission.can_update_activity_snooze_desc,fr,metafox/activity,,
activity::permission.can_update_activity_snooze_label,fr,metafox/activity,"Can update snoozes?",
activity::permission.can_update_feed_desc,fr,metafox/activity,,
activity::permission.can_update_feed_label,fr,metafox/activity,"Can edit activity feed?",
activity::permission.can_update_share_desc,fr,metafox/activity,,
activity::permission.can_update_share_label,fr,metafox/activity,"Can edit posts share?",
activity::permission.can_view_activity_snooze_desc,fr,metafox/activity,,
activity::permission.can_view_activity_snooze_label,fr,metafox/activity,"Can view snoozes?",
activity::permission.can_view_feed_desc,fr,metafox/activity,,
activity::permission.can_view_feed_label,fr,metafox/activity,"Can view activity feeds?",
activity::permission.can_view_share_desc,fr,metafox/activity,,
activity::permission.can_view_share_label,fr,metafox/activity,"Can view posts share?",
activity::phrase.activities,fr,metafox/activity,Activities,
activity::phrase.activity,fr,metafox/activity,Feed,
activity::phrase.activity_feed_approved_notification_type,fr,metafox/activity,"Approve Pending Feed",
activity::phrase.activity_feed_declined_notification_type,fr,metafox/activity,"Decline Pending Feed",
activity::phrase.activity_feed_pending_notification_type,fr,metafox/activity,"Pending Feed",
activity::phrase.activity_feed_tagged_notification_type,fr,metafox/activity,"Tagged In Feed",
activity::phrase.activity_notification_type,fr,metafox/activity,"Feed Notifications",
activity::phrase.activity_post_label_saved,fr,metafox/activity,Post,
activity::phrase.activity_post_type,fr,metafox/activity,"Activity Post Type",
activity::phrase.activity_share_type,fr,metafox/activity,"Activity Share Type",
activity::phrase.activity_type_can_comment,fr,metafox/activity,"Can users comment on this activity type?",
activity::phrase.activity_type_can_create_feed,fr,metafox/activity,"Create Feed",
activity::phrase.activity_type_can_edit,fr,metafox/activity,"Can users edit status this activity type?",
activity::phrase.activity_type_can_like,fr,metafox/activity,"Can users react on this activity type?",
activity::phrase.activity_type_can_put_stream,fr,metafox/activity,"Add this activity feed to the owner's timeline?",
activity::phrase.activity_type_can_redirect_to_detail,fr,metafox/activity,"The feed of activity type can be redirected to detail page of item.",
activity::phrase.activity_type_can_share,fr,metafox/activity,"Can users share this activity type?",
activity::phrase.add_new_item,fr,metafox/activity,"Added media attachments",
activity::phrase.app_name,fr,metafox/activity,Feed,
activity::phrase.attachment_is_not_valid,fr,metafox/activity,"Attachment is not available",
activity::phrase.captcha_on_create_activity_post,fr,metafox/activity,"Enable CAPTCHA challenge when posting new status",
activity::phrase.check_in,fr,metafox/activity,Check-in,
activity::phrase.copy_link,fr,metafox/activity,"Copy link",
activity::phrase.create_post_form,fr,metafox/activity,"Create post form",
activity::phrase.decline_post_and_block_author,fr,metafox/activity,"Decline post and block author",
activity::phrase.delete_confirm,fr,metafox/activity,"Are you sure you want to permanently delete this post?",
activity::phrase.deleted_item,fr,metafox/activity,"The media files have been removed from this post.",
activity::phrase.delete_post,fr,metafox/activity,"Delete Post",
activity::phrase.edit_activity_type,fr,metafox/activity,"Edit Activity Type",
activity::phrase.edit_post,fr,metafox/activity,"Edit Post",
activity::phrase.enable_this_activity_type,fr,metafox/activity,"Enable this activity type?",
activity::phrase.feed,fr,metafox/activity,Feed,
activity::phrase.feed_cannot_be_created,fr,metafox/activity,"Feed cannot be created.",
activity::phrase.feed_created_successfully,fr,metafox/activity,"Post has been created successfully.",
activity::phrase.feed_default_privacy,fr,metafox/activity,"Feed default privacy",
activity::phrase.feed_deleted_successfully,fr,metafox/activity,"Post has been deleted successfully.",
activity::phrase.feed_edit_successfully,fr,metafox/activity,"Post has been edited successfully.",
activity::phrase.feed_global_search_label,fr,metafox/activity,Posts,
activity::phrase.feed_label_saved,fr,metafox/activity,Feed,
activity::phrase.hide_all_from_owner_full_name,fr,metafox/activity,"Hide All From :owner_full_name",
activity::phrase.hide_all_from_shared_owner_full_name,fr,metafox/activity,"Hide All From :shared_owner_full_name",
activity::phrase.hide_all_from_shared_user_full_name,fr,metafox/activity,"Hide All From :shared_user_full_name",
activity::phrase.hide_all_from_user_full_name,fr,metafox/activity,"Hide All From :user_full_name",
activity::phrase.hide_this_post,fr,metafox/activity,"Hide this Post",
activity::phrase.is_system_activity_type,fr,metafox/activity,"Is system activity type?",
activity::phrase.no_content,fr,metafox/activity,"No Content",
activity::phrase.permission.activity_post.create,fr,metafox/activity,"Activity Post Create Permission",
activity::phrase.permission.activity_post.delete,fr,metafox/activity,"Activity Post Delete Permission",
activity::phrase.permission.activity_post.moderate,fr,metafox/activity,"Activity Post Moderate Permission",
activity::phrase.permission.activity_post.update,fr,metafox/activity,"Activity Post Update Permission",
activity::phrase.permission.activity_post.view,fr,metafox/activity,"Activity Post View Permission",
activity::phrase.permission.activity_snooze.create,fr,metafox/activity,"Activity Snooze Create Permission",
activity::phrase.permission.activity_snooze.delete,fr,metafox/activity,"Activity Snooze Delete Permission",
activity::phrase.permission.activity_snooze.moderate,fr,metafox/activity,"Activity Snooze Moderate Permission",
activity::phrase.permission.activity_snooze.update,fr,metafox/activity,"Activity Snooze Update Permission",
activity::phrase.permission.activity_snooze.view,fr,metafox/activity,"Activity Snooze View Permission",
activity::phrase.permission.feed.can_purchase_sponsor,fr,metafox/activity,"Activity Feed Can Purchase Sponsor Permission",
activity::phrase.permission.feed.can_sponsor_feed,fr,metafox/activity,"Activity Feed Can Sponsor Feed Permission",
activity::phrase.permission.feed.create,fr,metafox/activity,"Activity Feed Create Permission",
activity::phrase.permission.feed.delete,fr,metafox/activity,"Activity Feed Delete Permission",
activity::phrase.permission.feed.hide,fr,metafox/activity,"Activity Feed Hide Permission",
activity::phrase.permission.feed.moderate,fr,metafox/activity,"Activity Feed Moderate Permission",
activity::phrase.permission.feed.update,fr,metafox/activity,"Activity Feed Update Permission",
activity::phrase.permission.feed.view,fr,metafox/activity,"Activity Feed View Permission",
activity::phrase.permissions,fr,metafox/activity,Permissions,
activity::phrase.pin_post,fr,metafox/activity,"Pin this Post to your Profile",
activity::phrase.pin_post_on_homepage,fr,metafox/activity,"Pin Post on Homepage",
activity::phrase.pin_this_post_to_your_profile,fr,metafox/activity,"Pin this Post to your Profile",
activity::phrase.poll,fr,metafox/activity,Poll,
activity::phrase.post_in_process_message,fr,metafox/activity,"Your post is being processed. We'll let you know when it is ready to view.",
activity::phrase.posts,fr,metafox/activity,Posts,
activity::phrase.post_successfully_removed,fr,metafox/activity,"Post has been successfully removed.",
activity::phrase.removed_item,fr,metafox/activity,"Removed media attachments",
activity::phrase.removed_tag_successfully,fr,metafox/activity,"Removed tag successfully",
activity::phrase.remove_from_saved_list,fr,metafox/activity,"Remove from Saved list",
activity::phrase.remove_post,fr,metafox/activity,"Remove Post",
activity::phrase.remove_tag,fr,metafox/activity,"Remove Tag",
activity::phrase.report,fr,metafox/activity,Report,
activity::phrase.report_item,fr,metafox/activity,"Report Item",
activity::phrase.report_to_group_admins,fr,metafox/activity,"Report to group admins",
activity::phrase.save_post,fr,metafox/activity,Save,
activity::phrase.settings,fr,metafox/activity,Settings,
activity::phrase.share_a_post_to_newsfeed,fr,metafox/activity,"shared a post to newsfeed",
activity::phrase.share_default_privacy,fr,metafox/activity,"Share default privacy",
activity::phrase.shared_successfully,fr,metafox/activity,"Shared successfully",
activity::phrase.shared_to_feed,fr,metafox/activity,"Shared to feed",
activity::phrase.share_now,fr,metafox/activity,"Share now",
activity::phrase.share_on_friends,fr,metafox/activity,"Share on a friend's profile",
activity::phrase.share_on_group,fr,metafox/activity,"Share on a Group",
activity::phrase.share_on_page,fr,metafox/activity,"Share on a Page",
activity::phrase.share_to_news_feed,fr,metafox/activity,"Share to News Feed",
activity::phrase.site_settings,fr,metafox/activity,"Activity Settings",
activity::phrase.snooze_owner_full_name_for_30_days,fr,metafox/activity,"Snooze :owner_full_name For 30 Days",
activity::phrase.snooze_shared_owner_full_name_for_30_days,fr,metafox/activity,"Snooze :shared_owner_full_name For 30 Days",
activity::phrase.snooze_shared_user_full_name_for_30_days,fr,metafox/activity,"Snooze :shared_user_full_name For 30 Days",
activity::phrase.snooze_user_full_name_for_30_days,fr,metafox/activity,"Snooze :user_full_name For 30 Days",
activity::phrase.sponsor_in_feed,fr,metafox/activity,"Sponsor In Feed",
activity::phrase.status,fr,metafox/activity,Status,
activity::phrase.status_background,fr,metafox/activity,"Status Background",
activity::phrase.successfully_posted_please_waiting_for_approve,fr,metafox/activity,"Successfully posted. Please wait for approval.",
activity::phrase.tag_friends,fr,metafox/activity,"Tag Friends",
activity::phrase.thanks_for_editting_your_post_for_approval,fr,metafox/activity,"Thanks for editting your post! Please wait for approval.",
activity::phrase.thanks_for_your_post_for_approval,fr,metafox/activity,"Thanks for your post! It's been submitted to admins for approval.",
activity::phrase.this_user_has_been_blocked_and_the_post_has_been_declined,fr,metafox/activity,"This user has been blocked and the post has been declined.",
activity::phrase.title,fr,metafox/activity,Title,
activity::phrase.types,fr,metafox/activity,Types,
activity::phrase.unable_to_share_this_post_due_to_privacy_setting,fr,metafox/activity,"Unable to share this post due to privacy",
activity::phrase.unpin_post,fr,metafox/activity,"Unpin Post",
activity::phrase.unpin_post_on_homepage,fr,metafox/activity,"Unpin Post On Home Page",
activity::phrase.unsponsor_in_feed,fr,metafox/activity,"Unsponsor In Feed",
activity::phrase.updated_item,fr,metafox/activity,"Updated media attachments",
activity::phrase.user_post_approved,fr,metafox/activity,":user's post has been approved.",
activity::phrase.user_post_declined,fr,metafox/activity,":user's post has been declined.",
activity::phrase.user_privacy.who_can_post_on_your_profile,fr,metafox/activity,"Who can post on your profile?",
activity::phrase.user_privacy.who_can_share_a_post,fr,metafox/activity,"Who can create posts?",
activity::phrase.user_privacy.who_can_view_your_activities_section_on_your_profile_page,fr,metafox/activity,"Who can view the posts or activities on your profile?",
activity::phrase.user_status,fr,metafox/activity,"User Status",
activity::phrase.video,fr,metafox/activity,Video,
activity::phrase.view_edit_history,fr,metafox/activity,"View Edit History",
activity::phrase.your_post_has_been_submitted_to_group_admins_for_approval,fr,metafox/activity,"Your post has been submitted to group admins for approval.",
activitypoint::mail.points_added,fr,metafox/activity-point,"An administrator gave you {points, plural, one {one activity point} other {# activity points} }.",
activitypoint::mail.points_revoked,fr,metafox/activity-point,"{points, plural, one {Your point has been revoked by an administrator.} other {Your points has been revoked by an administrator.}}",
activitypoint::mail.purchase_package_fail,fr,metafox/activity-point,"Your purchase of {amount, plural, one {# activity point} other {# activity points}} cannot be processed properly. Please try again later.",
activitypoint::mail.purchase_package_success,fr,metafox/activity-point,"Your purchase of {amount, plural, one {# activity point has} other {# activity points have}} been processed successfully.",
activitypoint::mail.received_gifted_points,fr,metafox/activity-point,"<b>{user}</b> gave you {points, plural, one {one activity point} other {# activity points} }.",
activitypoint::mail.received_gifted_points_subject,fr,metafox/activity-point,"{user} gave you {points, plural, one {one activity point} other {# activity points} }.",
activitypoint::permission.can_can_adjust_activity_points_activitypoint_desc,fr,metafox/activity-point,"If enabled, users of this role will be allowed to adjust activity points of members in the community.",
activitypoint::permission.can_can_adjust_activity_points_activitypoint_label,fr,metafox/activity-point,"Can adjust activity points of members?",
activitypoint::permission.can_can_gift_activity_points_activitypoint_desc,fr,metafox/activity-point,,
activitypoint::permission.can_can_gift_activity_points_activitypoint_label,fr,metafox/activity-point,"Can gift activity points to members?",
activitypoint::permission.can_can_purchase_points_activitypoint_desc,fr,metafox/activity-point,"Enable if allowing users to buy point packages.",
activitypoint::permission.can_can_purchase_points_activitypoint_label,fr,metafox/activity-point,"Can purchase activity points?",
activitypoint::permission.can_can_purchase_with_activity_points_activitypoint_desc,fr,metafox/activity-point,"Enable if allowing users to use activity points to purchase items",
activitypoint::permission.can_can_purchase_with_activity_points_activitypoint_label,fr,metafox/activity-point,"Can use activity points to purchase items?",
activitypoint::permission.can_create_activitypoint_package_desc,fr,metafox/activity-point,,
activitypoint::permission.can_create_activitypoint_package_label,fr,metafox/activity-point,"Can create activity point packages?",
activitypoint::permission.can_create_activitypoint_setting_desc,fr,metafox/activity-point,,
activitypoint::permission.can_create_activitypoint_setting_label,fr,metafox/activity-point,"Can create activity point settings?",
activitypoint::permission.can_delete_activitypoint_package_desc,fr,metafox/activity-point,,
activitypoint::permission.can_delete_activitypoint_package_label,fr,metafox/activity-point,"Can delete activity point packages?",
activitypoint::permission.can_delete_activitypoint_setting_desc,fr,metafox/activity-point,,
activitypoint::permission.can_delete_activitypoint_setting_label,fr,metafox/activity-point,"Can delete activity point settings?",
activitypoint::permission.can_maximum_activity_points_admin_can_adjust_activitypoint_desc,fr,metafox/activity-point,,
activitypoint::permission.can_maximum_activity_points_admin_can_adjust_activitypoint_label,fr,metafox/activity-point,"Maximum Activity Points users of this role can send to members in AdminCP > Member Points",
activitypoint::permission.can_moderate_activitypoint_desc,fr,metafox/activity-point,,
activitypoint::permission.can_moderate_activitypoint_label,fr,metafox/activity-point,"Can moderate activity points ?",
activitypoint::permission.can_moderate_activitypoint_package_desc,fr,metafox/activity-point,,
activitypoint::permission.can_moderate_activitypoint_package_label,fr,metafox/activity-point,"Can moderate activity points package?",
activitypoint::permission.can_moderate_activitypoint_setting_desc,fr,metafox/activity-point,,
activitypoint::permission.can_moderate_activitypoint_setting_label,fr,metafox/activity-point,"Can moderate activity point settings?",
activitypoint::permission.can_period_time_admin_adjust_activity_points_activitypoint_desc,fr,metafox/activity-point,,
activitypoint::permission.can_period_time_admin_adjust_activity_points_activitypoint_label,fr,metafox/activity-point,"The period for sending Activity Points to members in AdminCP > Member Points",
activitypoint::permission.can_update_activitypoint_package_desc,fr,metafox/activity-point,,
activitypoint::permission.can_update_activitypoint_package_label,fr,metafox/activity-point,"Can update activity point packages?",
activitypoint::permission.can_update_activitypoint_setting_desc,fr,metafox/activity-point,,
activitypoint::permission.can_update_activitypoint_setting_label,fr,metafox/activity-point,"Can update activity point settings?",
activitypoint::permission.can_view_activitypoint_package_desc,fr,metafox/activity-point,,
activitypoint::permission.can_view_activitypoint_package_label,fr,metafox/activity-point,"Can view activity point package details?",
activitypoint::permission.can_view_activitypoint_setting_desc,fr,metafox/activity-point,,
activitypoint::permission.can_view_activitypoint_setting_label,fr,metafox/activity-point,"Can view activity point setting details?",
activitypoint::permission.can_view_any_activitypoint_package_desc,fr,metafox/activity-point,,
activitypoint::permission.can_view_any_activitypoint_package_label,fr,metafox/activity-point,"Can view all activity point packages?",
activitypoint::permission.can_view_any_activitypoint_setting_desc,fr,metafox/activity-point,,
activitypoint::permission.can_view_any_activitypoint_setting_label,fr,metafox/activity-point,"Can view all activity point settings?",
activitypoint::phrase.action,fr,metafox/activity-point,Action,
activitypoint::phrase.action_type,fr,metafox/activity-point,"Action Type",
activitypoint::phrase.activity_point,fr,metafox/activity-point,"Activity Point",
activitypoint::phrase.activitypoint,fr,metafox/activity-point,"Activity Points",
activitypoint::phrase.activitypoint_notification_type,fr,metafox/activity-point,"Activity Point Notifications",
activitypoint::phrase.activity_points,fr,metafox/activity-point,"Activity Points",
activitypoint::phrase.activity_post_create_action,fr,metafox/activity-point,"Post a new post",
activitypoint::phrase.activity_post_create_description,fr,metafox/activity-point,"Post a new post",
activitypoint::phrase.activity_post_post_on_other_action,fr,metafox/activity-point,"Share a post on other profile",
activitypoint::phrase.activity_post_post_on_wall_action,fr,metafox/activity-point,"Share a post on own profile",
activitypoint::phrase.add_new_package,fr,metafox/activity-point,"Add New Package",
activitypoint::phrase.adjust,fr,metafox/activity-point,Adjust,
activitypoint::phrase.adjust_point,fr,metafox/activity-point,"Adjust points",
activitypoint::phrase.adjust_points,fr,metafox/activity-point,"Adjust points",
activitypoint::phrase.announcement_create_action,fr,metafox/activity-point,"Create a new announcement",
activitypoint::phrase.announcement_create_description,fr,metafox/activity-point,"Create an new announcement",
activitypoint::phrase.app,fr,metafox/activity-point,App,
activitypoint::phrase.app_name,fr,metafox/activity-point,"Activity Point",
activitypoint::phrase.blog_create_action,fr,metafox/activity-point,"Publish a new blog",
activitypoint::phrase.blog_create_description,fr,metafox/activity-point,"Publish a new blog",
activitypoint::phrase.browse_package_transaction,fr,metafox/activity-point,,
activitypoint::phrase.browse_setting,fr,metafox/activity-point,"Point Settings",
activitypoint::phrase.browse_statistic,fr,metafox/activity-point,"Point Members",
activitypoint::phrase.browse_transaction,fr,metafox/activity-point,"Transaction History",
activitypoint::phrase.change_point_setting,fr,metafox/activity-point,"Change Point Setting",
activitypoint::phrase.comment_create_action,fr,metafox/activity-point,"Add a new comment",
activitypoint::phrase.comment_create_description,fr,metafox/activity-point,"Add a new comment",
activitypoint::phrase.conversation_rate_desc,fr,metafox/activity-point,,
activitypoint::phrase.conversation_rate_label,fr,metafox/activity-point,"Conversation Rate",
activitypoint::phrase.date,fr,metafox/activity-point,Date,
activitypoint::phrase.define_a_price,fr,metafox/activity-point,"Define a price in this currency",
activitypoint::phrase.earn_point,fr,metafox/activity-point,"Earned Points",
activitypoint::phrase.edit_package,fr,metafox/activity-point,"Edit Package",
activitypoint::phrase.enter_member_name,fr,metafox/activity-point,"Enter member name",
activitypoint::phrase.event_create_action,fr,metafox/activity-point,"Create a new event",
activitypoint::phrase.event_create_description,fr,metafox/activity-point,"Create a new event",
activitypoint::phrase.feed_create_action,fr,metafox/activity-point,"Create a new post",
activitypoint::phrase.feed_create_description,fr,metafox/activity-point,"Create a new post",
activitypoint::phrase.forum_post_create_action,fr,metafox/activity-point,"Create a new forum post",
activitypoint::phrase.forum_post_create_description,fr,metafox/activity-point,"Create a new forum post",
activitypoint::phrase.forum_thread_create_action,fr,metafox/activity-point,"Create a new forum thread",
activitypoint::phrase.forum_thread_create_description,fr,metafox/activity-point,"Create a new forum thread",
activitypoint::phrase.gifted_point_is_required,fr,metafox/activity-point,"Gifted point is required",
activitypoint::phrase.gifted_point_to_user,fr,metafox/activity-point,"Your points are gifted away.",
